Control file: .bsrep100.control.txt

List of free parameters:   neu_theta_1   neu_e_1   sel_theta_1   sel_gamma_1   sel_e_1   sel_theta_2   sel_gamma_2   sel_e_2   sel_theta_3   sel_gamma_3   sel_e_3   r_2   r_3   r_4   r_5   r_6   r_7   r_8   r_9   r_10   r_11   r_12   r_13   r_14   r_15   r_16   r_17   r_18   r_19   r_20   r_21   r_22   r_23   r_24   r_25   r_26   r_27   r_28   r_29   r_30   r_31   r_32   r_33   r_34   r_35   r_36   r_37   r_38   r_39   r_40   r_41   r_42   r_43   r_44   r_45   r_46   r_47   r_48   r_49

seed = 333433

run	imp	exit_code	neu_theta_1	neu_gamma_1	neu_e_1	sel_theta_1	sel_gamma_1	sel_e_1	sel_theta_2	sel_gamma_2	sel_e_2	sel_theta_3	sel_gamma_3	sel_e_3	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49	lnL
7	12	3	0.00238890244144739	0	0.0574218683802441	0.0104991660494081	-452.831447441558	2.47017056121002e-05	0.000679192169054867	-4.03905949237523	0.00783888957439229	0.000167973527368244	4.56895817584255	0.10878985811411	1.39612661647476	2.16914072816944	3.35854337162036	2.04858778559063	1.95029549025648	2.05276522147426	2.97212845102878	1.93225525783126	1.73263020336325	2.54903616632165	1.52419426852416	1.51366560666394	1.4820658626435	2.24918357129727	1.48911169095034	1.44622552575089	2.19183488777248	1.4297323343959	1.45240155491206	1.50047040811964	2.25032474232649	1.4018525356468	1.53455373602755	2.19036631612439	1.42718091520357	1.52672932994639	1.33236771348521	2.42687398568247	1.55369465007774	1.44786160291801	1.3865346346055	2.56158450632044	1.54764499970033	1.56194039487432	2.4784739782514	1.52810268818767	1.73926806850776	1.52505079111503	2.87862446323417	2.10270943415126	1.76257152205806	3.35080572227855	1.97216578211546	1.7767592056551	1.1802282269701	3.30797004327261	1.65328649070212	1.75776236946629	1539710.16173327
1	18	3	0.00236969757656744	0	0.0518953383165103	0.0093773449506607	-394.767175453989	3.76626006928893e-06	0.000154851365344398	5.09696714599935	0.115477590662662	0.000673288039431205	-3.83491782982399	0.000607525121222661	1.39169134843841	2.17956613049196	3.37823642689679	2.05928132323568	1.95872738406738	2.06037685518566	2.98168969687204	1.93813572722155	1.73718247761535	2.55497617937323	1.52847622808092	1.51714553736418	1.48666223144232	2.25459246881092	1.49367633864815	1.45303001752425	2.19856212967036	1.43535312609507	1.4595733032073	1.51174721808573	2.26093250122665	1.4118859986111	1.54557172985135	2.20789038806411	1.44167056635919	1.54226513198156	1.35184481751023	2.44805285875815	1.57240563083657	1.46768156505024	1.41418083654454	2.59035999358335	1.5736300098726	1.59944571639436	2.51274000176402	1.56040918278631	1.77437821641392	1.58328290639259	2.93225449972769	2.15838906042138	1.8612010607647	3.4295668817071	2.0615743958486	1.88730559346278	1.42011036338197	3.50905588879952	1.86919548767379	2.07854230448102	1539709.98436823
10	9	3	0.00233624029776318	0	0.0412816600050644	0.0116364602533668	-505.950689647525	6.58064559633242e-07	0.000663756998933636	-4.13683050485557	4.84297236867604e-05	0.000171270138599084	4.19864700356461	0.0700358694468717	1.41102897951737	2.18441448486526	3.37219658715537	2.06004514224112	1.96340351847802	2.07409793961482	2.98952036456363	1.95070933843296	1.75711708516838	2.56631956717057	1.542825580773	1.53172233048516	1.51059405440537	2.27109116824697	1.51025530942868	1.48158195248391	2.21338484905896	1.45181245289862	1.47773546002222	1.5424834867149	2.27512866498058	1.43277754973342	1.56438925478704	2.23964129026333	1.4644650920356	1.5626094418898	1.39521216336586	2.47119574905604	1.60001173095386	1.49698517695782	1.46730745266129	2.6174033876304	1.61124673965256	1.66769237664952	2.55537128614269	1.61262969166095	1.83530812837302	1.70184892891741	3.01587029748108	2.27250830509151	2.06120602669187	3.5971162192094	2.2434818740006	2.12180101417124	1.88353826162076	3.93757164571051	2.25094493646351	2.63398335574973	1539709.86914056
6	27	3	0.00244418507764157	0	0.0803962364132856	0.000165356560098164	4.99298678256375	0.146462721920237	0.000703399660264816	-4.01168589441904	0.025012824962703	0.0122566391690711	-536.699114213764	8.07923583310721e-06	1.41150037029353	2.17185128944888	3.36512792111756	2.04833988060358	1.94765927528495	2.04159592824082	2.9733400877161	1.92575124048336	1.71664963463102	2.54948165066824	1.51493306923539	1.50528385823984	1.46070827162582	2.24284087836621	1.47648359329897	1.41411568087648	2.18563455353262	1.4139107617552	1.4328173651854	1.45991574612359	2.23973585139184	1.37621324836404	1.50897534382393	2.14428232796976	1.3914528301804	1.49197669070764	1.26004360808954	2.38840320857799	1.50443843062842	1.39399397340039	1.28713204764264	2.50411046575108	1.47077972188242	1.4268413049522	2.39195481010767	1.41979934830265	1.61606627339946	1.2837943996767	2.70521245985443	1.87217776558614	1.34612352514844	3.01899998483523	1.59157209303067	1.28653357037127	0.16079592359346	2.39704325182204	0.747696397119868	0.484765038964032	1539709.62313458
9	15	3	0.00245593433035033	0	0.0837147642866446	0.000141357120071913	5.94291202635212	0.126968722906527	0.00868780054335556	-358.005282935712	7.75547099608032e-06	0.000703221014784368	-3.52670418470421	0.0391908140066889	1.38747985952382	2.1817531088653	3.38637987682816	2.05815482776733	1.95334854571344	2.04612785691141	2.96750458884918	1.92140851912855	1.71316511025573	2.53242218153747	1.50645382405434	1.49589326285424	1.45262076265604	2.22421034353729	1.4652770862232	1.40804700328373	2.16455009088244	1.40057516066422	1.42088692669983	1.45116632838744	2.21942822859982	1.36705907317658	1.49938757766006	2.13376780993221	1.38515090408908	1.48588821760369	1.26063248284168	2.3793681367321	1.50191576629819	1.39116232133694	1.28914255713314	2.492677677458	1.4665942131024	1.42035882882899	2.37893026459807	1.40892122314349	1.60424361178531	1.27073150942068	2.67374446577254	1.84073669456612	1.30523808223759	2.94735989793392	1.52825433836556	1.20275480216067	0.0212259536274734	2.20373427832048	0.634151383754358	0.25666643351412	1539709.08416784
8	25	3	0.00243344259556432	0	0.0770533107226581	0.00846974761185974	-348.179068704935	2.22415404073617e-05	0.000148064825767025	5.52388055022532	0.129522317131431	0.00069052631838186	-3.63034203007172	0.0292658731366063	1.38559172459512	2.18553579130419	3.39498594916829	2.06317891545517	1.95905904736463	2.05462487831857	2.9784112504928	1.92928046936105	1.72160940530481	2.54457741232481	1.51431648818645	1.50297803630149	1.46226787423509	2.23486480850221	1.47416170635079	1.41741984990628	2.1751350803174	1.41162207499991	1.43223923701168	1.46603399447129	2.23038594899725	1.37848428666811	1.51151874173625	2.15151888942655	1.39798737691941	1.50003783505851	1.27897737410151	2.39613573504754	1.51674793836891	1.40696814765848	1.31325604401871	2.51713446925327	1.48994227877588	1.45925401422914	2.41166574885877	1.44343581963901	1.64354268047464	1.33495968152242	2.73481567423481	1.91303227266699	1.42299050010355	3.06200769573589	1.64809635904356	1.35757030260931	0.306603114764956	2.50105509703871	0.911611457562888	0.658813867630225	1539708.96535429
4	41	3	0.00246293511452085	0	0.0839729228364082	0.000702912301881008	-3.56388009815287	0.0359930250281728	0.000143975608796945	5.93496852781314	0.13899497040106	0.00826626144588346	-339.351716095254	6.55156851311123e-06	1.37862552827683	2.17452063979406	3.37762952107798	2.05418646697714	1.94926785625829	2.04075453151479	2.96351368980315	1.91753562570345	1.70835976418149	2.52975761741238	1.50357816888553	1.49256575665373	1.44791935823082	2.22162542737219	1.46187658443907	1.40187394265812	2.16120132568211	1.39830474047365	1.41792693591797	1.44587837838399	2.21675740425883	1.36366392623239	1.4956429371216	2.12580326840251	1.38096637627811	1.48170398148528	1.25284518332552	2.37240714334419	1.495186361763	1.38535063760291	1.27805715071399	2.48596362317481	1.46059617521459	1.41168361463802	2.37020605561071	1.40254556531685	1.59647872111717	1.25815654148123	2.66331999605973	1.82903336108575	1.28724167776598	2.93186623519261	1.51238700351323	1.19007257282469	0.0200364761684192	2.18890324096552	0.633204157162782	0.248732886058826	1539708.70519319
3	29	3	0.00245114479551704	0	0.0834151956039435	0.00788503898511989	-318.236909833613	8.90215016664531e-07	0.000140913345504932	5.7828608670816	0.115978737095998	0.000695156498337221	-3.46934275805427	0.042026548651122	1.3809894655248	2.18852409882209	3.40174475147948	2.06698594754431	1.96151161887617	2.05507883980473	2.97593479628181	1.92706968490988	1.71917821904579	2.5370285340799	1.50980421614859	1.49843797382632	1.45586339838321	2.22612479238953	1.46706633812503	1.41188097755739	2.1638935491618	1.40194081959883	1.42181483933336	1.45411775067487	2.21775183312313	1.36772993117409	1.5004214428707	2.1354977230612	1.38628958507566	1.48688576808427	1.26601815750821	2.37951091942288	1.50359487540968	1.39340064795565	1.29181383792349	2.49275673913811	1.46986945530197	1.4276765594165	2.38143224915827	1.41319182104973	1.60848947486295	1.27765010153106	2.67940881818068	1.8478649493701	1.31772389350147	2.95999687565571	1.53633727224201	1.21300556218538	0.0245666784117164	2.22490495547639	0.659792218386371	0.270387268310654	1539707.53663229
5	19	3	0.002384411875514	0	0.0660869290270117	0.000677279086724583	-4.62386190626878	0.0121305970114039	0.0190146143842836	-870.692872653714	1.70054490260951e-05	0.000198687888765956	3.64432379122372	0.114335429364339	1.44231318008859	2.18196587148182	3.37543568704003	2.06125269949118	1.96575356322117	2.07037151988941	3.0086205525437	1.95703527432752	1.75357934768964	2.58840331798469	1.54639916535903	1.53715375084336	1.50081917173018	2.28511924798644	1.51104041347036	1.45713000201762	2.22489267264175	1.44387134640372	1.46557189281592	1.50448006588939	2.277729357415	1.40821936740853	1.54034732852556	2.19538312243822	1.4256999559848	1.52572292750665	1.31203409096073	2.43005869116829	1.5441347088078	1.43535571610286	1.35305292995823	2.55621050907859	1.52531012124798	1.51555750612356	2.46225349893905	1.49531692457399	1.70514900439033	1.43862421908872	2.84396900396993	2.03582370793119	1.61609892317187	3.28422585336311	1.8585592917708	1.62303962575455	0.799282718416864	3.05444088041316	1.30223652859865	1.32838350601451	1539705.21121967
2	20	3	0.00242618779544496	0	0.0754299948632265	0.00539153507876815	-202.589008912001	8.94551539398769e-07	0.00150812034808407	-784.301860465713	1.37358356051775e-05	0.000730272627779144	-1.17554652172108	0.0669729462622501	1.37889052100931	2.24799864586257	3.48780798205668	2.11213784881567	1.99078377280053	2.06448360938309	2.95804258458248	1.90447984852919	1.69381992548648	2.46059023245774	1.45966934655989	1.44059141197822	1.40348725876531	2.1181945655275	1.39760115046313	1.35024754842272	2.04716260166013	1.33117647189522	1.35194840799314	1.39390205314335	2.10576094379256	1.31058612396542	1.44056362976155	2.06167472188723	1.34806317154204	1.4522595025689	1.25890057153478	2.34730246194927	1.50524054037306	1.40984932950134	1.33549241186981	2.56178953092364	1.53477701982114	1.52842849095094	2.53818769866435	1.54267110298538	1.78062171460405	1.44935481852895	3.02165899457832	2.12311298686503	1.51879074994858	3.55610276031905	1.81775539272286	1.47542017554281	0.0211722519343842	2.8710297729592	0.948871062939499	0.565277834952607	1539593.30620726
