m	runs	mean(Lm)	sd(Lm)	min(Lm)	max(Lm)	L'(m)	sdL'(m)	minL'(m)	maxL'(m)	L''(m)	sdL''(m)	minL''(m)	maxL''(m)	Deltam	mean(f)	sd(f)
0	140	-3498.0905	1963.41774017015	-10033.6	-1912.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	20	-737.9113	502.678148399477	-2364.4	-337.931	2760.1792	1460.73959177067	1299.43960822933	4220.91879177067	2217.6085375	1199.54558539718	1018.06295210282	3417.15412289718	4.41158730404504	0.994744545837176	0.00000190330748631418
2	20	-195.3406375	241.484142025981	-982.557	-9.23175	542.5706625	261.194006373496	281.376656126504	803.764668873496	306.62856	118.786976691887	187.841583308113	425.415536691887	1.26976685685228	0.997616847529462	0.00000343090232453585
3	20	40.601465	99.0771123443716	-292.382	112.041	235.9421025	142.407029681609	93.5350728183911	378.349132181609	162.0112625	96.9213159032726	65.0899465967274	258.932578403273	1.6352037182602	0.999005990012221	0.00000216523918611161
4	20	114.532305	53.5913985660354	-64.0399	152.205	73.93084	45.4857137783363	28.4451262216637	119.416553778336	4.93594499999999	4.79676503924623	0.139179960753758	9.73271003924622	0.092103306352752	0.999396103654972	0.0000145327373764265
5	20	183.5272	12.9024498269454	148.084	197.537	68.994895	40.68894873909	28.30594626091	109.68384373909	NA	NA	NA	NA	NA	0.999872944552405	0.0000640442141018509
