Pos	Relaxed	Intensified_purify	NoChange	Pos_and_Relaxed	Pos_and_Intense	Pos_all	Relax_all	Intense_all
0.00204911266752183	0.309444225564922	0	0.63813309301249	0.0503735687550668	0	0.0524226814225886	0.359817794319989	0
0	0.295315536571595	0	0.650487797534962	0.0541966658934428	0	0.0541966658934428	0.349512202465038	0
0.000712390799957692	0.32329275540529	0	0.631629721474979	0.0443651323197729	0	0.0450775231197306	0.367657887725063	0
0	0.316464410846227	0	0.633093188945379	0.0504424002083939	0	0.0504424002083939	0.366906811054621	0
0.00206853290361673	0.326875386230741	0	0.624359730040642	0.0466963508250002	0	0.0487648837286169	0.373571737055741	0
0	0.310761710338773	0	0.638268546294474	0.0509697433667525	0	0.0509697433667525	0.361731453705526	0
0.00919887627764352	0.334749214859716	0	0.620350064736273	0.0357018441263681	0	0.0449007204040117	0.370451058986084	0
0.00897374713321449	0.315182869970021	0	0.632018143617747	0.0438252392790174	0	0.0527989864122319	0.359008109249038	0
0.00147787471764136	0.308651245267053	0	0.638303901782325	0.0515669782329805	0	0.0530448529506219	0.360218223500034	0
0	0.315199884125735	0	0.6357056672558	0.049094448618465	0	0.049094448618465	0.3642943327442	0
0	0.300522673194642	0	0.641191788836423	0.0582855379689343	0	0.0582855379689343	0.358808211163577	0
0	0.328737147152968	0	0.627498739401291	0.0437641134457412	0	0.0437641134457412	0.372501260598709	0
0	0.321951044011862	0	0.627980614170112	0.0500683418180262	0	0.0500683418180262	0.372019385829888	0
0	0.312575926321395	0	0.63580653462698	0.0516175390516245	0	0.0516175390516245	0.36419346537302	0
0	0.315232230613953	0	0.637368411331267	0.0473993580547803	0	0.0473993580547803	0.362631588668733	0
0.00852809797613979	0.322384961687344	0	0.635620064064061	0.0334668762724557	0	0.0419949742485955	0.3558518379598	0
0	0.326575685406973	0	0.62473411856478	0.0486901960282472	0	0.0486901960282472	0.37526588143522	0
0.0110812225114035	0.307787429834072	0	0.642620955118852	0.0385103925356735	0	0.049591615047077	0.346297822369745	0
0	0.313312344073627	0	0.635632500242638	0.0510551556837353	0	0.0510551556837353	0.364367499757362	0
0	0.311826582700059	0	0.636696572173516	0.0514768451264251	0	0.0514768451264251	0.363303427826484	0
0	0.307644203253727	0	0.635610887384497	0.0567449093617752	0	0.0567449093617752	0.364389112615503	0
0	0.290722113794124	0	0.646061685489465	0.0632162007164111	0	0.0632162007164111	0.353938314510535	0
0	0.305794237614679	0	0.637630408408606	0.0565753539767149	0	0.0565753539767149	0.362369591591394	0
0.00486874910966881	0.320383701684877	0	0.634559347588913	0.0401882016165419	0	0.0450569507262107	0.360571903301419	0
0.00400080357336648	0.321220503063776	0	0.628919046421368	0.0458596469414892	0	0.0498604505148556	0.367080150005266	0
0	0.331852219266085	0	0.623934193095826	0.0442135876380891	0	0.0442135876380891	0.376065806904174	0
0	0.29260221939996	0	0.648537870613357	0.0588599099866838	0	0.0588599099866838	0.351462129386643	0
0	0.297524767076842	0	0.651212733884959	0.0512624990381991	0	0.0512624990381991	0.348787266115041	0
0.000737914675417669	0.322222846796885	0	0.628936010273829	0.0481032282538687	0	0.0488411429292864	0.370326075050754	0
0	0.295010511485929	0	0.646459073120421	0.0585304153936496	0	0.0585304153936496	0.353540926879579	0
0.00339943958876256	0.319226721561676	0	0.632942789143326	0.0444310497062351	0	0.0478304892949977	0.363657771267911	0
0	0.318429622613634	0	0.632452883530981	0.0491174938553842	0	0.0491174938553842	0.367547116469019	0
0	0.312109407329353	0	0.641384425386005	0.0465061672846426	0	0.0465061672846426	0.358615574613995	0
0	0.311477847349523	0	0.629612853446008	0.058909299204469	0	0.058909299204469	0.370387146553992	0
0.000138139460543198	0.317433435997321	0	0.64055765795218	0.0418707665899557	0	0.0420089060504989	0.359304202587277	0
0	0.314611664343589	0	0.633866055767044	0.0515222798893675	0	0.0515222798893675	0.366133944232956	0
0.0129259650565291	0.321517242168339	0	0.624992614908999	0.0405641778661326	0	0.0534901429226617	0.362081420034472	0
0	0.295192267526273	0	0.644975191830928	0.0598325406427984	0	0.0598325406427984	0.355024808169072	0
0.00622765862692029	0.332651447256978	0	0.620516325890687	0.0406045682254144	0	0.0468322268523347	0.373256015482392	0
0	0.301484847796436	0	0.645170602608274	0.0533445495952902	0	0.0533445495952902	0.354829397391726	0
0	0.312971837397625	0	0.637449878042768	0.0495782845596076	0	0.0495782845596076	0.362550121957232	0
0	0.306435668296291	0	0.637159712376213	0.0564046193274964	0	0.0564046193274964	0.362840287623787	0
0.0108970786173521	0.333277486541615	0	0.612206428306853	0.04361900653418	0	0.054516085151532	0.376896493075795	0
0	0.31442977195947	0	0.631102274938342	0.0544679531021874	0	0.0544679531021874	0.368897725061657	0
0.00964949282520068	0.324197571937637	0	0.631236756384212	0.0349161788529512	0	0.0445656716781518	0.359113750790588	0
0	0.322674125200354	0	0.624902243221389	0.0524236315782565	0	0.0524236315782565	0.375097756778611	0
0	0.300822630120461	0	0.64468726140563	0.0544901084739087	0	0.0544901084739087	0.35531273859437	0
0	0.327391289776501	0	0.627087191934526	0.045521518288973	0	0.045521518288973	0.372912808065474	0
0	0.323176463987332	0	0.632667371621479	0.0441561643911892	0	0.0441561643911892	0.367332628378521	0
0.0081466928950997	0.332223395890816	0	0.623432588904226	0.0361973223098589	0	0.0443440152049586	0.368420718200674	0
0	0.313463521047766	0	0.63321381928469	0.0533226596675434	0	0.0533226596675434	0.366786180715309	0
0	0.301549889522138	0	0.6438522086423	0.0545979018355613	0	0.0545979018355613	0.3561477913577	0
