Pos	Relaxed	Intensified_purify	NoChange	Pos_and_Relaxed	Pos_and_Intense	Pos_all	Relax_all	Intense_all
0	0.0637981092231791	0.0600509295558374	0.876150961220984	0	0	0	0.0637981092231791	0.0600509295558374
0	0.0647077966047569	0.0644892677360103	0.870802935659233	0	0	0	0.0647077966047569	0.0644892677360103
0	0.0614812386558591	0.0619410748320325	0.876577686512108	0	0	0	0.0614812386558591	0.0619410748320325
0	0.0613895542819647	0.0597289755167225	0.878881470201313	0	0	0	0.0613895542819647	0.0597289755167225
0	0.0657221204946308	0.0635114051759032	0.870766474329466	0	0	0	0.0657221204946308	0.0635114051759032
0	0.0644413231574066	0.057766908684089	0.877791768158504	0	0	0	0.0644413231574066	0.057766908684089
0	0.0665603294013875	0.0679005785044256	0.865539092094187	0	0	0	0.0665603294013875	0.0679005785044256
0	0.0642754546332164	0.0632897921300446	0.872434753236739	0	0	0	0.0642754546332164	0.0632897921300446
0	0.0646522257958123	0.064748034280296	0.870599739923892	0	0	0	0.0646522257958123	0.064748034280296
0	0.0656327510069033	0.0569870061547759	0.877380242838321	0	0	0	0.0656327510069033	0.0569870061547759
0	0.0705412245177382	0.060536924513648	0.868921850968614	0	0	0	0.0705412245177382	0.060536924513648
0	0.0608925916601224	0.0685970062741205	0.870510402065757	0	0	0	0.0608925916601224	0.0685970062741205
0	0.0603788592994241	0.0618747716099143	0.877746369090662	0	0	0	0.0603788592994241	0.0618747716099143
0	0.0675188665595551	0.0662171651932282	0.866263968247217	0	0	0	0.0675188665595551	0.0662171651932282
0	0.0627035568582107	0.0592827811754442	0.878013661966345	0	0	0	0.0627035568582107	0.0592827811754442
0	0.0631022613829609	0.0542692255672534	0.882628513049786	0	0	0	0.0631022613829609	0.0542692255672534
0	0.0596416181646135	0.0673664885578982	0.872991893277488	0	0	0	0.0596416181646135	0.0673664885578982
0	0.0651692316160119	0.0642269943446708	0.870603774039317	0	0	0	0.0651692316160119	0.0642269943446708
0	0.0579889587684484	0.0585047086483869	0.883506332583165	0	0	0	0.0579889587684484	0.0585047086483869
0	0.0653559665051166	0.0588976617855897	0.875746371709294	0	0	0	0.0653559665051166	0.0588976617855897
0	0.0646496626421157	0.0628392739551764	0.872511063402708	0	0	0	0.0646496626421157	0.0628392739551764
0	0.065797831318529	0.060034633965117	0.874167534716354	0	0	0	0.065797831318529	0.060034633965117
0	0.0605900467916213	0.0570674631825741	0.882342490025805	0	0	0	0.0605900467916213	0.0570674631825741
0	0.064874658222091	0.0626086363142849	0.872516705463624	0	0	0	0.064874658222091	0.0626086363142849
0	0.068089046017933	0.062637587438505	0.869273366543562	0	0	0	0.068089046017933	0.062637587438505
0	0.0639750153721484	0.0623303040418349	0.873694680586017	0	0	0	0.0639750153721484	0.0623303040418349
0	0.0647701364094408	0.0627490622689915	0.872480801321568	0	0	0	0.0647701364094408	0.0627490622689915
0	0.06185876636005	0.0682744859236072	0.869866747716343	0	0	0	0.06185876636005	0.0682744859236072
0	0.0609590171724329	0.0622953091893814	0.876745673638186	0	0	0	0.0609590171724329	0.0622953091893814
0	0.0673131645643839	0.0600489522266691	0.872637883208947	0	0	0	0.0673131645643839	0.0600489522266691
