Pos	Relaxed	Intensified_purify	NoChange	Pos_and_Relaxed	Pos_and_Intense	Pos_all	Relax_all	Intense_all
0	0.30576866710265	0	0.636355322873095	0.0578760100242546	0	0.0578760100242546	0.363644677126904	0
0	0.30701129003577	0	0.634262927803032	0.0587257821611986	0	0.0587257821611986	0.365737072196968	0
0	0.311872965414591	0	0.629400304305374	0.0587267302800348	0	0.0587267302800348	0.370599695694626	0
0	0.309658127684789	0	0.636913680010605	0.0534281923046057	0	0.0534281923046057	0.363086319989395	0
0	0.308304949555719	0	0.637238695464122	0.0544563549801588	0	0.0544563549801588	0.362761304535878	0
0	0.303879927031293	0	0.642838959905939	0.0532811130627685	0	0.0532811130627685	0.357161040094061	0
0.0157470812016876	0.333132451159818	0	0.620716345619903	0.0304041220185909	0	0.0461512032202785	0.363536573178409	0
0	0.301846809240427	0	0.637051550154769	0.0611016406048035	0	0.0611016406048035	0.36294844984523	0
0	0.309395795527905	0	0.632439163571659	0.0581650409004363	0	0.0581650409004363	0.367560836428341	0
0	0.319454145172824	0	0.626821840822898	0.0537240140042787	0	0.0537240140042787	0.373178159177102	0
0	0.322246510707758	0	0.63255544667263	0.0451980426196123	0	0.0451980426196123	0.36744455332737	0
0.0033103910888015	0.323490072505902	0	0.640578311689821	0.0326212247154752	0	0.0359316158042767	0.356111297221377	0
0.00204629503428989	0.298118106533809	0	0.642822733508503	0.0570128649233985	0	0.0590591599576884	0.355130971457207	0
0	0.325412495158517	0	0.631806545921287	0.0427809589201954	0	0.0427809589201954	0.368193454078713	0
0	0.315338183246173	0	0.64080584841863	0.043855968335197	0	0.043855968335197	0.35919415158137	0
0	0.306656436955556	0	0.63974781994232	0.053595743102124	0	0.053595743102124	0.36025218005768	0
0	0.310141952846448	0	0.64762532000546	0.0422327271480915	0	0.0422327271480915	0.35237467999454	0
0.00331021462415212	0.309479142452265	0	0.640302068865324	0.0469085740582587	0	0.0502187886824108	0.356387716510524	0
0	0.321133675421554	0	0.633803140263832	0.0450631843146141	0	0.0450631843146141	0.366196859736168	0
0	0.301545118898988	0	0.636592490980262	0.0618623901207491	0	0.0618623901207491	0.363407509019738	0
0	0.303060188765986	0	0.639323697243599	0.0576161139904151	0	0.0576161139904151	0.360676302756401	0
0.00267088734206288	0.307256955596044	0	0.634484955841979	0.055587201219914	0	0.0582580885619769	0.362844156815958	0
0.0116804514249852	0.310378752378835	0	0.636051470006432	0.0418893261897475	0	0.0535697776147327	0.352268078568582	0
0	0.323711945698347	0	0.637970507038875	0.0383175472627776	0	0.0383175472627776	0.362029492961125	0
0	0.314996704824931	0	0.632434452090227	0.052568843084842	0	0.052568843084842	0.367565547909773	0
0	0.305167371290061	0	0.639310079419855	0.0555225492900846	0	0.0555225492900846	0.360689920580145	0
0	0.322026010840679	0	0.628994619907877	0.0489793692514442	0	0.0489793692514442	0.371005380092123	0
0	0.320386113261608	0	0.625679453989513	0.053934432748879	0	0.053934432748879	0.374320546010488	0
