Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_1786_2 zgc:114045  have too few sites, skip
Group_440_4 si:dkey-38p12.3  have too few sites, skip
Group_65_13 si:dkey-93n13.3  have too few sites, skip
Group_4868_0 shbg  have too few sites, skip
Group_1148_1 polr2a  have too few sites, skip
Group_1475_1 tp53  have too few sites, skip
Group_100_4 slc2a4  have too few sites, skip
Group_1793_0 eif5al1  have too few sites, skip
Group_3993_0 gps2  have too few sites, skip
Group_349_6 gabarap  have too few sites, skip
Group_4653_0 phf23b  have too few sites, skip
Group_1781_0 plscr3b  have too few sites, skip
Group_12_60 tnk1  have too few sites, skip
Group_1232_0 eif4ebp3  have too few sites, skip
Group_7578_0 si:ch211-160j14.2  have too few sites, skip
Group_24_1 adra2c  have too few sites, skip
Group_7094_0 msantd1  have too few sites, skip
Group_273_5 coro1b  have too few sites, skip
Group_1386_2 acy3  have too few sites, skip
Group_2600_1 cldnd1a  have too few sites, skip
Group_939_0 ppp1r14c  have too few sites, skip
Group_1613_1 armc1l  have too few sites, skip
Group_166_12 aldh8a1  have too few sites, skip
Group_6_22 sgk1  have too few sites, skip
Group_1280_1 tbpl1  have too few sites, skip
Group_2648_1 tcf21  have too few sites, skip
Group_4783_0 rps12  have too few sites, skip
Group_2095_1 fam167ab  have too few sites, skip
Group_4617_0 ccm2  have too few sites, skip
Group_224_7 slco3a1  have too few sites, skip
Group_14_60 nr2f2  have too few sites, skip
Group_3881_0 tnip1  have too few sites, skip
Group_1045_1 si:ch211-278j3.3  have too few sites, skip
Group_4900_0 snx17  have too few sites, skip
Group_5071_0 atraid  have too few sites, skip
Group_318_6 phf2  have too few sites, skip
Group_12_54 ptk2bb  have too few sites, skip
Group_3970_0 bmf2  have too few sites, skip
Group_6534_0 zc3h14  have too few sites, skip
Group_3242_1 batf  have too few sites, skip
Group_14_18 esrrb  have too few sites, skip
Group_1531_0 jdp2b  have too few sites, skip
Group_4345_0 tmed10  have too few sites, skip
Group_4818_1 eif2b2  have too few sites, skip
Group_7194_0 ostm1  have too few sites, skip
Group_7510_0 sybl1  have too few sites, skip
Group_8264_0 polr1d  have too few sites, skip
Group_377_7 ednr  have too few sites, skip
Group_5006_0 thg1l  have too few sites, skip
Group_511_1 ppp2r2ba  have too few sites, skip
Group_6425_0 rpl26  have too few sites, skip
Group_119_15 nkx2.5  have too few sites, skip
Group_3017_1 stc2  have too few sites, skip
Group_1275_0 sesn1  have too few sites, skip
Group_2546_0 cep57l1  have too few sites, skip
Group_5737_0 mrps10  have too few sites, skip
Group_1857_1 dynlt1  have too few sites, skip
Group_2795_0 myct1a  have too few sites, skip
Group_5218_0 armt1  have too few sites, skip
Group_319_0 xkr6b  have too few sites, skip
Group_179_10 mtmr9  have too few sites, skip
Group_9627_0 unknown  have too few sites, skip
Group_1184_2 fndc4a  have too few sites, skip
Group_6034_0 si:ch211-101l18.9  have too few sites, skip
Group_1412_1 nme6  have too few sites, skip
Group_4_94 rab32a  have too few sites, skip
Group_842_2 abcd4  have too few sites, skip
Group_331_3 daam1b  have too few sites, skip
Group_799_2 ncoa7  have too few sites, skip
Group_361_4 gata4  have too few sites, skip
Group_6_62 si:dkey-121j17.5  have too few sites, skip
Group_195_10 si:dkey-121b10.7  have too few sites, skip
Group_671_5 smyd2b  have too few sites, skip
Group_20_19 ptpn14  have too few sites, skip
Group_1508_0 efr3bb  have too few sites, skip
Group_8160_0 si:ch211-225h24.2  have too few sites, skip
Group_2557_0 fbxo25  have too few sites, skip
Group_7437_0 fam110c  have too few sites, skip
Group_6520_0 acp1  have too few sites, skip
Group_7290_0 tmem18  have too few sites, skip
Group_145_3 gpr6  have too few sites, skip
Group_972_3 rbm24a  have too few sites, skip
Group_6617_0 vps28  have too few sites, skip
Group_6118_0 snrpd1  have too few sites, skip
Group_3918_0 adnp2b  have too few sites, skip
Group_1332_0 azin1b  have too few sites, skip
Group_1736_0 atp6v1c1b  have too few sites, skip
Group_1146_3 necab1  have too few sites, skip
Group_7897_0 chrac1  have too few sites, skip
Group_4597_0 fam91a1  have too few sites, skip
Group_536_1 stmn2  have too few sites, skip
Group_1014_2 tpd52  have too few sites, skip
Group_177_17 fabp11a  have too few sites, skip
Group_2847_1 fam8a1a  have too few sites, skip
Group_8233_0 ccdc167  have too few sites, skip
Group_2299_1 cdc40  have too few sites, skip
Group_2996_1 mettl24  have too few sites, skip
Group_5675_0 sod2  have too few sites, skip
Group_627_0 acat2  have too few sites, skip
Group_323_9 tcp1  have too few sites, skip
Group_8779_0 si:dkey-65b13.13  have too few sites, skip
Group_1595_2 smek1  have too few sites, skip
Group_293_3 eva1a  have too few sites, skip
Group_1497_1 tram2  have too few sites, skip
Group_2681_1 xkr5  have too few sites, skip
Group_2895_1 prep  have too few sites, skip
Group_9628_0 unknown  have too few sites, skip
Group_44_6 grik2  have too few sites, skip
Group_7417_1 ripply2  have too few sites, skip
Group_56_7 rhob  have too few sites, skip
Group_1573_1 laptm4a  have too few sites, skip
Group_137_16 matn3a  have too few sites, skip
Group_6364_1 churc1  have too few sites, skip
Group_6364_0 churc1  have too few sites, skip
Group_443_2 rhag  have too few sites, skip
Group_5554_0 rd3  have too few sites, skip
Group_4773_0 taf1a  have too few sites, skip
Group_1195_1 nfkbie  have too few sites, skip
Group_5995_0 slc35b2  have too few sites, skip
Group_6474_0 psmg2  have too few sites, skip
Group_659_3 hsp90ab1  have too few sites, skip
Group_2856_0 rbm25b  have too few sites, skip
Group_5027_0 eif2s1a  have too few sites, skip
Group_6496_0 atp6v1d  have too few sites, skip
Group_2346_0 gphnb  have too few sites, skip
Group_40_3 cdx1  have too few sites, skip
Group_7009_0 slc35a4  have too few sites, skip
Group_30_8 arl3l2  have too few sites, skip
