Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_9627_0 unknown  have too few sites, skip
Group_1184_2 fndc4a  have too few sites, skip
Group_4_94 rab32a  have too few sites, skip
Group_354_4 unknown  have too few sites, skip
Group_361_4 gata4  have too few sites, skip
Group_9273_0 loc107377585  have too few sites, skip
Group_4488_0 fdft1  have too few sites, skip
Group_1549_1 ctsbb  have too few sites, skip
Group_2626_0 abhd1  have too few sites, skip
Group_195_10 si:dkey-121b10.7  have too few sites, skip
Group_8160_0 si:ch211-225h24.2  have too few sites, skip
Group_2557_0 fbxo25  have too few sites, skip
Group_7290_0 tmem18  have too few sites, skip
Group_26_30 pdgfra  have too few sites, skip
Group_972_3 rbm24a  have too few sites, skip
Group_6617_0 vps28  have too few sites, skip
Group_19_10 mapk15  have too few sites, skip
Group_213_5 fam83hb  have too few sites, skip
Group_6118_0 snrpd1  have too few sites, skip
Group_1736_0 atp6v1c1b  have too few sites, skip
Group_1659_2 tmem55a  have too few sites, skip
Group_6674_0 gatad1  have too few sites, skip
Group_4597_0 fam91a1  have too few sites, skip
Group_536_1 stmn2  have too few sites, skip
Group_177_17 fabp11a  have too few sites, skip
Group_2847_1 fam8a1a  have too few sites, skip
Group_8233_0 ccdc167  have too few sites, skip
Group_2996_1 mettl24  have too few sites, skip
Group_5675_0 sod2  have too few sites, skip
Group_1595_2 smek1  have too few sites, skip
Group_3102_1 efhc1  have too few sites, skip
Group_1497_1 tram2  have too few sites, skip
Group_2895_1 prep  have too few sites, skip
Group_9628_0 unknown  have too few sites, skip
Group_44_6 grik2  have too few sites, skip
Group_5444_0 mrap2a  have too few sites, skip
Group_121_11 lrg1  have too few sites, skip
Group_56_7 rhob  have too few sites, skip
Group_1573_1 laptm4a  have too few sites, skip
Group_137_16 matn3a  have too few sites, skip
Group_767_0 si:dkeyp-50f7.2  have too few sites, skip
Group_767_1 si:ch211-223m11.2  have too few sites, skip
Group_6364_1 churc1  have too few sites, skip
Group_6364_0 churc1  have too few sites, skip
Group_1637_0 nrbp1  have too few sites, skip
Group_4773_0 taf1a  have too few sites, skip
Group_5044_0 rnf8  have too few sites, skip
Group_6474_0 psmg2  have too few sites, skip
Group_659_3 hsp90ab1  have too few sites, skip
Group_5027_0 eif2s1a  have too few sites, skip
Group_6496_0 atp6v1d  have too few sites, skip
Group_2346_0 gphnb  have too few sites, skip
Group_40_3 cdx1  have too few sites, skip
Group_4222_0 rbm22  have too few sites, skip
Group_30_8 arl3l2  have too few sites, skip
Group_3612_1 fut8  have too few sites, skip
Group_495_1 rfx6  have too few sites, skip
Group_2686_1 mllt4a  have too few sites, skip
Group_7983_0 ptrhd1  have too few sites, skip
Group_38_33 cx34.5  have too few sites, skip
Group_6736_0 arv1  have too few sites, skip
Group_3329_1 fam89a  have too few sites, skip
Group_6824_0 ccdc25  have too few sites, skip
Group_155_8 loc107377778  have too few sites, skip
Group_17_9 kif3c  have too few sites, skip
Group_4_29 rab10  have too few sites, skip
Group_2595_1 pcmt  have too few sites, skip
Group_627_2 hadhb  have too few sites, skip
Group_59_19 adgrg11  have too few sites, skip
Group_7019_0 abracl  have too few sites, skip
Group_1064_2 scara3  have too few sites, skip
Group_4146_0 scg5  have too few sites, skip
Group_3940_0 emc7  have too few sites, skip
Group_6035_0 sarnp  have too few sites, skip
Group_2639_0 hsd17b10  have too few sites, skip
Group_192_10 avpr2  have too few sites, skip
Group_254_4 igfbp6b  have too few sites, skip
Group_5527_0 rnf41  have too few sites, skip
Group_7350_0 dazap2  have too few sites, skip
Group_1717_0 tfcp2  have too few sites, skip
Group_3107_0 slc48a1a  have too few sites, skip
Group_7377_0 si:dkey-205h13.1  have too few sites, skip
Group_5259_0 pink1  have too few sites, skip
Group_2_81 loc107390419  have too few sites, skip
Group_334_0 thbs1b  have too few sites, skip
Group_348_5 si:dkey-11e23.3  have too few sites, skip
Group_2164_0 susd6  have too few sites, skip
Group_2868_1 max  have too few sites, skip
Group_1693_1 si:dkey-126h10.1  have too few sites, skip
Group_747_0 ypel5  have too few sites, skip
Group_113_11 dnajc5gb  have too few sites, skip
Group_177_0 fabp7b  have too few sites, skip
Group_434_6 zgc:101840  have too few sites, skip
Group_2522_2 vash2  have too few sites, skip
Group_1531_2 atf3  have too few sites, skip
Group_2961_0 ahsa1a  have too few sites, skip
Group_6501_0 vipas39  have too few sites, skip
Group_21_0 mark3  have too few sites, skip
Group_3538_1 unknown  have too few sites, skip
Group_15_10 kidins220b  have too few sites, skip
Group_202_9 slc9a9  have too few sites, skip
Group_3790_0 gje1  have too few sites, skip
Group_7669_0 tmem251  have too few sites, skip
Group_1000_3 tmem30ab  have too few sites, skip
Group_24_48 htr1b  have too few sites, skip
Group_4629_0 rps7  have too few sites, skip
