Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_847_3 si:ch73-217b7.1  have too few sites, skip
Group_1613_1 armc1l  have too few sites, skip
Group_6_22 sgk1  have too few sites, skip
Group_1280_1 tbpl1  have too few sites, skip
Group_2648_1 tcf21  have too few sites, skip
Group_1008_2 eya4  have too few sites, skip
Group_4783_0 rps12  have too few sites, skip
Group_2095_1 fam167ab  have too few sites, skip
Group_4617_0 ccm2  have too few sites, skip
Group_5071_0 atraid  have too few sites, skip
Group_318_6 phf2  have too few sites, skip
Group_3970_0 bmf2  have too few sites, skip
Group_3242_1 batf  have too few sites, skip
Group_14_18 esrrb  have too few sites, skip
Group_1531_0 jdp2b  have too few sites, skip
Group_4345_0 tmed10  have too few sites, skip
Group_4818_1 eif2b2  have too few sites, skip
Group_7194_0 ostm1  have too few sites, skip
Group_3232_0 pdgfrl  have too few sites, skip
Group_7510_0 sybl1  have too few sites, skip
Group_8264_0 polr1d  have too few sites, skip
Group_377_7 ednr  have too few sites, skip
Group_6425_0 rpl26  have too few sites, skip
Group_119_15 nkx2.5  have too few sites, skip
Group_3017_1 stc2  have too few sites, skip
Group_1275_0 sesn1  have too few sites, skip
Group_1857_1 dynlt1  have too few sites, skip
Group_5218_0 armt1  have too few sites, skip
Group_319_0 xkr6b  have too few sites, skip
Group_9627_0 unknown  have too few sites, skip
Group_6034_0 si:ch211-101l18.9  have too few sites, skip
Group_4_94 rab32a  have too few sites, skip
Group_354_4 unknown  have too few sites, skip
Group_842_2 abcd4  have too few sites, skip
Group_331_3 daam1b  have too few sites, skip
Group_603_4 ppp1r13bb  have too few sites, skip
Group_361_4 gata4  have too few sites, skip
Group_4488_0 fdft1  have too few sites, skip
Group_6_62 si:dkey-121j17.5  have too few sites, skip
Group_195_10 si:dkey-121b10.7  have too few sites, skip
Group_671_5 smyd2b  have too few sites, skip
Group_8160_0 si:ch211-225h24.2  have too few sites, skip
Group_6520_0 acp1  have too few sites, skip
Group_26_30 pdgfra  have too few sites, skip
Group_972_3 rbm24a  have too few sites, skip
Group_6617_0 vps28  have too few sites, skip
Group_19_10 mapk15  have too few sites, skip
Group_213_5 fam83hb  have too few sites, skip
Group_6118_0 snrpd1  have too few sites, skip
Group_1332_0 azin1b  have too few sites, skip
Group_1736_0 atp6v1c1b  have too few sites, skip
Group_1146_3 necab1  have too few sites, skip
Group_536_1 stmn2  have too few sites, skip
Group_177_17 fabp11a  have too few sites, skip
Group_2847_1 fam8a1a  have too few sites, skip
Group_8233_0 ccdc167  have too few sites, skip
Group_2996_1 mettl24  have too few sites, skip
Group_1595_2 smek1  have too few sites, skip
Group_3102_1 efhc1  have too few sites, skip
Group_293_3 eva1a  have too few sites, skip
Group_9628_0 unknown  have too few sites, skip
Group_7417_1 ripply2  have too few sites, skip
Group_5444_0 mrap2a  have too few sites, skip
Group_121_11 lrg1  have too few sites, skip
Group_56_7 rhob  have too few sites, skip
Group_1573_1 laptm4a  have too few sites, skip
Group_137_16 matn3a  have too few sites, skip
Group_767_0 si:dkeyp-50f7.2  have too few sites, skip
Group_767_1 si:ch211-223m11.2  have too few sites, skip
Group_6364_1 churc1  have too few sites, skip
Group_6364_0 churc1  have too few sites, skip
Group_443_2 rhag  have too few sites, skip
Group_5554_0 rd3  have too few sites, skip
Group_4773_0 taf1a  have too few sites, skip
Group_5995_0 slc35b2  have too few sites, skip
Group_659_3 hsp90ab1  have too few sites, skip
Group_2856_0 rbm25b  have too few sites, skip
Group_5027_0 eif2s1a  have too few sites, skip
Group_6496_0 atp6v1d  have too few sites, skip
Group_2346_0 gphnb  have too few sites, skip
Group_40_3 cdx1  have too few sites, skip
Group_30_8 arl3l2  have too few sites, skip
Group_495_1 rfx6  have too few sites, skip
Group_2686_1 mllt4a  have too few sites, skip
Group_7983_0 ptrhd1  have too few sites, skip
Group_272_0 loc107377742  have too few sites, skip
Group_38_33 cx34.5  have too few sites, skip
Group_6736_0 arv1  have too few sites, skip
Group_3329_1 fam89a  have too few sites, skip
Group_2418_1 trim67  have too few sites, skip
Group_6824_0 ccdc25  have too few sites, skip
Group_155_8 loc107377778  have too few sites, skip
Group_4_29 rab10  have too few sites, skip
Group_2595_1 pcmt  have too few sites, skip
Group_677_1 tfap2b  have too few sites, skip
