Control file: .bsrep80.control.txt

List of free parameters:   neu_theta_1   neu_e_1   sel_theta_1   sel_gamma_1   sel_e_1   sel_theta_2   sel_gamma_2   sel_e_2   sel_theta_3   sel_gamma_3   sel_e_3   r_2   r_3   r_4   r_5   r_6   r_7   r_8   r_9   r_10   r_11   r_12   r_13   r_14   r_15   r_16   r_17   r_18   r_19   r_20   r_21   r_22   r_23   r_24   r_25   r_26   r_27   r_28   r_29   r_30   r_31   r_32   r_33   r_34   r_35   r_36   r_37   r_38   r_39   r_40   r_41   r_42   r_43   r_44   r_45   r_46   r_47   r_48   r_49

seed = 333413

run	imp	exit_code	neu_theta_1	neu_gamma_1	neu_e_1	sel_theta_1	sel_gamma_1	sel_e_1	sel_theta_2	sel_gamma_2	sel_e_2	sel_theta_3	sel_gamma_3	sel_e_3	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49	lnL
8	26	3	0.000910143148826377	0	0.0420792459081713	0.000440117751808352	-4.61216576390377	0.0213227468874769	9.52100565972002e-05	2.03562674383018	4.42119075515968e-05	0.00177193565457739	-204.847341073822	7.40262522414214e-06	0.133491979197955	0.591445804331351	0.84260871117872	1.02616702095818	1.69335270611826	1.34515699637015	1.47523597269782	2.44819814508768	1.37998584182356	1.35494784409784	1.88820462749288	1.14001899237359	1.69111121317573	1.02023978286999	1.06722390395634	1.66319716717046	1.06184671519224	1.21121172024889	1.79003710410208	1.26590375381196	1.29554535228585	1.99736099517386	1.26119815916157	1.9728227308484	1.36128737958	1.4117585744784	2.16756492024629	1.42913386238299	1.71330811011858	2.52782179997421	1.67194973339642	1.54934913749265	2.66124477271451	1.86697775474736	1.95864283915894	3.33970748907239	2.63503890650534	4.40180443482094	3.06258699731872	3.18608368634642	5.87543609054887	3.72121685716369	3.45208755262065	5.067212575588	2.81888775306481	3.02536557854666	4.10886914972807	0.0213972459072719	478253.431349451
6	20	3	0.000908249791221049	0	0.0421038579091963	0.00149612269037161	-161.296386764765	0	0.00043790931275613	-4.45059818880957	0.0213687693777728	8.92107396231391e-05	2.20082410714312	2.4895472324149e-05	0.131776944524641	0.590476859960895	0.846150364398524	1.03193348786589	1.70223767951341	1.35176002094055	1.48125297001671	2.45683215015652	1.3837091939383	1.35780138263616	1.8921604994441	1.1419440899883	1.69343632817378	1.02159641326878	1.0682172648871	1.66515168314592	1.06337974840999	1.21234242117243	1.79282383353414	1.26772474839552	1.29767045726014	2.0012387886947	1.26306670467388	1.97699166457497	1.3647948559621	1.41422533049252	2.17210228583989	1.4321281991099	1.71708278729218	2.53475613111011	1.67695516586027	1.55302783099999	2.66960746809767	1.87131223842914	1.96485505133415	3.35054367229104	2.64035824945846	4.41490816340768	3.0705851068435	3.19334502237367	5.88905148379657	3.72660568391366	3.45642717327913	5.07564467715116	2.82056231412064	3.03173507664959	4.11473650271265	0.0221035632095568	478253.325007512
5	44	3	0.000908355948667623	0	0.041896987690084	0.00044308456574545	-4.64934882279051	0.0210945517925649	9.48798567566182e-05	2.05439233110912	5.70405327984247e-06	0.00234280717949012	-288.440797696551	1.81068743358082e-05	0.136445620948818	0.595630954812061	0.843645685053171	1.02592384606837	1.69325541649737	1.34598947462346	1.47631585458439	2.45008061619354	1.3815884694389	1.35664707432107	1.89147703163886	1.14222959226669	1.69460319417106	1.0224906581674	1.06990474380916	1.66736359853838	1.06492384230931	1.21473756109157	1.7954092724372	1.26903497204971	1.29945840568582	2.00305985025401	1.26478812953041	1.97932730816792	1.36615964454048	1.41567911809533	2.1743639460096	1.43321912800915	1.71864336745283	2.53469615943067	1.67617909178448	1.55352474296052	2.66862884137172	1.87132605461612	1.9641750478767	3.34817981662462	2.64180344248098	4.41173478717287	3.0692376280735	3.19511240922452	5.88681038897346	3.72697177352385	3.4612169062707	5.07781606299823	2.82348141164483	3.02768265995025	4.10902776242904	0.0286804526554817	478253.159371605
10	32	3	0.000907553168696236	0	0.0417749920043936	0.0028065429171709	-357.030617640102	2.32553571500671e-05	0.000443797096039765	-4.69966367220156	0.0209775714883666	9.62057025616477e-05	2.02021812292374	4.83554175244283e-05	0.137924942917911	0.597105794317743	0.843630267673081	1.02572287362486	1.69295009023561	1.34577661576961	1.47662532789938	2.45148627320319	1.38222796794908	1.35832316663787	1.89358313893188	1.14406692891274	1.69665297861668	1.0239374212181	1.0714409051803	1.6702202939781	1.06672835090501	1.21652254180978	1.79851292857458	1.27119130138185	1.30218227383036	2.00622027573805	1.26678477847325	1.98226392172227	1.36736163221432	1.41737178088021	2.17618596783747	1.43408854828318	1.72024668237203	2.53733120892764	1.67802016223358	1.55479044872417	2.6714176182839	1.87322978507491	1.9666804689521	3.35046978084728	2.6435750840059	4.413940842756	3.0726334756497	3.19837738245011	5.89085796577744	3.7316392152104	3.46591460202923	5.08031271714984	2.82686907891667	3.02979304394459	4.11170502612624	0.0357610144111449	478252.872386099
9	44	3	0.000907737659360979	0	0.0418871429046912	0.000441870633443629	-4.83583069844087	0.0212490588138766	0.00294745116273319	-381.130982800653	1.42927860986308e-05	0.000102043265472915	1.85702896222418	5.08349087242044e-05	0.138014948312785	0.595909229983468	0.84195529682843	1.02402272349709	1.69153777448555	1.34518285482128	1.47665094421694	2.45258252705992	1.38312055820319	1.35914341422273	1.89530890597597	1.1447615087238	1.69868103768119	1.02466579834598	1.07299952183229	1.67100681968615	1.06728227626823	1.21761972590679	1.79863169029595	1.2718590238052	1.30233138392028	2.00583786928441	1.26718591771208	1.98081632661157	1.36661038874959	1.41668621378114	2.17301381408132	1.43356549130709	1.71839880265572	2.5330214253799	1.67588669940634	1.55396121374825	2.66725478709134	1.87062505524534	1.96362736550485	3.34572229384528	2.64037392696653	4.41019445811657	3.07128237166709	3.19737420637842	5.88875151416584	3.73231524087627	3.46767503765854	5.08544797912224	2.83121020392787	3.03491065963662	4.11619144156371	0.0287817769227064	478252.813900131
3	25	3	0.000904159694506119	0	0.0397176513739512	0.000434580885909212	-5.16322368672122	0.0204056945051355	0.00371492188736023	-500.555844192073	3.3662177725069e-06	0.00011547094374652	1.52085753810066	8.69086733891189e-06	0.139297472841674	0.596312352545748	0.84176395614669	1.02521861094606	1.69425803495044	1.34911727249961	1.48287508277006	2.46241257625947	1.39025591391821	1.36726553553697	1.9053823009097	1.15204794475829	1.70738367095019	1.03074543198014	1.07926561076514	1.67924620101513	1.07284698630702	1.22376904057348	1.80617122611416	1.27627935654576	1.30733542682922	2.01115928083737	1.27006674075253	1.98618460067163	1.3697092026678	1.42059379401093	2.17617088815075	1.43489733729427	1.72227573756164	2.53512422261413	1.67767624246288	1.55779449737954	2.66912039442101	1.87323028616843	1.97175418473976	3.35004216116611	2.65268227915047	4.42138978834793	3.08283957515473	3.22621463542405	5.91636759277564	3.75941011477822	3.50757918144871	5.1244769374674	2.86630781595801	3.07292081144359	4.14983269574516	0.144069479621111	478252.360168493
2	19	3	0.000907649632848606	0	0.0419355803324484	0.000442574790597519	-4.96316677774271	0.0212952144137329	0.00463363707705609	-634.59552739083	1.49989582963372e-05	0.000106322195121992	1.75548176579826	2.41135434948836e-05	0.140333740699746	0.596025660019259	0.840084809375543	1.02209441030067	1.68862801384261	1.34377857801023	1.47586923474042	2.45200963121917	1.38370803613082	1.36002702219194	1.89676220159597	1.14614400737173	1.70037125052267	1.02619787269386	1.07393255784255	1.6730246182824	1.06852406545468	1.21879650691903	1.80065008545005	1.27250437160444	1.30218789209854	2.00705883642339	1.26708298123512	1.98117678150252	1.36727076757695	1.41664028334489	2.17368716164195	1.43270186409613	1.71756660264654	2.53157255216585	1.67479879140035	1.55192422265215	2.66509568966342	1.86863381053841	1.96286553764739	3.34300955244115	2.63870591293493	4.4059857112245	3.06799945704866	3.19841775227948	5.88768649825399	3.73126791695452	3.46690616230328	5.08448339712999	2.8321479831683	3.03555310698713	4.11528946410175	0.0260624561851925	478252.106273804
7	24	3	0.000906016360369575	0	0.0415677189199326	0.000112567431550648	1.59692671204753	2.62648638393537e-05	0.00043840722144731	-5.10841689653829	0.02132215178894	0.00515675638429025	-714.83877661129	1.70144716031628e-05	0.140804932754801	0.59662150847267	0.840667503398408	1.02334710346689	1.69183042285557	1.34643573189695	1.47977637667292	2.45884548640843	1.38768473655486	1.36427242728622	1.90216785538789	1.14963686156565	1.7048672549146	1.02870223392625	1.07702385875289	1.67723008056993	1.07105315468332	1.22112709294572	1.80411628873699	1.27496539596614	1.3055345215836	2.00947506257098	1.26877413627261	1.98362011058986	1.36827839250058	1.4188713984229	2.17434616430139	1.43325468322528	1.71925978804448	2.53284810297522	1.67592819428418	1.55346903714583	2.66557316493619	1.86999086906791	1.96526811744864	3.34531150525459	2.64313648958705	4.41079096548312	3.07353987807555	3.20572718244038	5.89782605336541	3.741533065303	3.48105142298872	5.10131149251135	2.84486264010563	3.04928696835647	4.13090989557124	0.0449297374875671	478251.943134037
4	24	3	0.000893928715828989	0	0.0299871210315377	0.000438977895652102	-5.03381924667405	0.014042759596103	0.00708528050693109	-992.193108260475	7.51526168521366e-06	0.000105877890934782	1.75048745092498	5.87949340041427e-05	0.143043960446021	0.600193232154063	0.845078126983455	1.02983978104157	1.70070084003341	1.35518348783778	1.4911449591967	2.4726872639754	1.39782909958966	1.37724609489568	1.91517878776626	1.16232286685985	1.71787980933717	1.03918937703921	1.09109997111132	1.69244964275462	1.08437999878514	1.2395913436828	1.82404402538978	1.29142432405816	1.32594757216854	2.03265971027934	1.28723486077511	2.01306504877397	1.38875246520913	1.44669775183052	2.2046598213088	1.4570430033759	1.75350346767855	2.56870017136917	1.7027988459304	1.59158409652792	2.70414577914578	1.90411581345278	2.01890001140035	3.39677066367672	2.7176988373007	4.48398909985159	3.14382331383232	3.33435473507118	6.00782616394388	3.84521318280382	3.62846143952614	5.22400125025113	2.96234387766436	3.16744557279857	4.18608446574185	0.662306084213134	478251.304965321
1	35	3	0.000903639453388102	0	0.0410954115653172	0.00285765938969751	-297.470768495889	2.15922878843422e-07	0.000416293916597749	-1.59561756649623	0.0232427895305212	0.000286880873666771	-340.197260665267	7.35832148077709e-06	0.150082746941714	0.660647015354035	0.919384788010845	1.0932330854662	1.77368040410759	1.38352585664883	1.48913531825436	2.44443750452201	1.35606676727696	1.31151221811572	1.81402432016674	1.08118616340552	1.59644848943766	0.953661151764715	0.989746200803081	1.54401963983813	0.980043997555661	1.11013481016539	1.64694675470622	1.16349070138694	1.18600733223157	1.84043419138179	1.16108306400176	1.82254963901575	1.26341383907768	1.30895968865375	2.03343572824616	1.34270786306347	1.618380396409	2.41784506690093	1.607019330428	1.49377975002438	2.60934452958185	1.84333216487041	1.94557002517956	3.36720899664571	2.67203566840959	4.53335921719257	3.17359816143756	3.30025633570016	6.24950885169506	3.97740782766277	3.70177173124965	5.57101511987937	3.09039618367197	3.37830108499388	4.73838456095603	0.0201020389247361	478172.285968872
